judul,label
"Ini ada ratusan nyawa dokter yang sudah menjadi korban, Pak Menkes bilang jangan dibesar-besarkan",1
Anies Baswedan Terlibat Kontrak Politik dengan HTI,1
"Jokowi: Tidak Perlu Dibesar besarkan, Penusukan Ustad Ali Jaber itu Kriminal Biasa. Ustad Juga Nda Sampai Mati",1
kiyai kohar orang bogor beliau pulang ngaji dari masjid tiba- tiba dikoroyok oleh orang yang tak dikenal,1
Pedangdut Aty Kodong  Meninggal Dunia,1
Foto Akhirnya Syekh Ali Jabber terbang pulang ke Madinah,1
Polisi di Sumba Timur Bawa Rotan untuk Tertibkan Warga,1
Pelaku Penusukan Syekh Ali Jaber Sudah Bebas Bersyarat,1
Foto AFRICA vs AFRICA in American Movies,1
"Tak Patuhi PSBB, Warga Cilegon akan di Denda",1
"Breaking News; Pesantren Alquran Terbakar 28 Santri Dan Guru Meninggal Dunia, Semoga Yang Gugur Dalam Pesantren Tersebut Husnul Khotimah",1
SK Pengangkatan CPNS di Kabupaten Sampang,1
"Kebijakan Anies Dikabulkan, Sepeda Masuk Toll",1
"Selama Covid19 Ada, Tidak ada Orang Gila Yang Kena Covid19",1
Minum Minuman Energi Berlebihan Sebabkan Lubang Besar pada Tengkorak Kepala,1
Tokopedia Bagikan 200 GB Data Internet untuk Semua Operator,1
Anies dapat instruksi dari KAMI agar lakukan PSBB total beberapa bulan,1
Pembagian Masker Gratis Dicampur Bius,1
Foto ANIES DAPAT PIALA JUARA SATU DALAM CORONA,1
Video Teknik Menahan Napas Untuk Deteksi Covid-19,1
Ibunda Cak Nun Meninggal Dunia,1
"Sejumlah Negara Tak Izinkan WNI Datang, Wamenlu: RI Juga Larang WNA Masuk Saat Corona, kecuali TKA China",1
Wanita di Inggris Tewas Tertusuk Urin Beku,1
Tips Blokir Nomor Ponsel SMS Penipuan,1
Anies Baswedan Mengendarai Mobil Peti Mati,1
Foto Telah ditemukan situs peninggalan PRASEJARAH dimasa Raja Firaun,1
"Gereja Dibakar saat Protes Black Lives Matter di Kenosha, Wisconsin",1
Foto Menteri Agama di Kabinet Jokowi sebagai Pendeta Kristen,1
Foto Dalam Lingkaran merah JACK MA Saat Masih Kecil,1
Rumah DP 0% DKI Jakarta dengan Foto Peti Mati,1
Foto Siswi Menulis Kalimat Berbahasa Indonesia di Papan Tulis,1
Artikel Seorang Ayah Ini Sebrangkan Anak Nya di Sungai Agar Bisa Pinjam Hp Temen Nya Untuk Sekolah Online,1
Siasat Lawan Hoax Corona,0
RS wisma atlet lampu Kamar menyala semua Petanda Fuul pasien Corona,1
"Bachtaroeddin, anggota Fraksi PKI di DPR, adalah kakek Arteria Dahlan",1
"Badak Bukanlah Mahluk Asal Bumi, Karna Pada Saat Manusia Melakukan Pendaratan Pertama Di Bulan, Mereka Mendapati Koloni Badak",1
Bupati Lumajang Beri Bantuan Lewat Whatsapp,1
"Resesi di Depan Mata, Jokowi Minta Semua Gubernur Tiru Kerja Keras Anies Selamatkan Ekonomi",1
Gibran ngimpi akan bebasin Palestina dari Israel,1
Qori Internasional asal Papua,1
Akhirnya Jokowi Selesai Buat Tol Laut,1
Melihat Papua dan Aceh Sejahtera Timor Leste Ingin Gabung Dengan Indonesia,1
Foto Gubernur Anies Memegang Piagam Bertuliskan PENGHARGAAN Provinsi Jumlah Covid 19 Tertinggi,1
Surat Panggilan Interview karyawan Garuda Indonesia,1
Pesan Singkat Pembagian Hadiah Rp175 juta dari Shopee,1
Makan Buah Saat Perut Kosong Sembuhkan Kanker,1
Surat Penerimaan Calon Taruna Poltekip dan Poltekim,1
Pencopotan Bendera PDIP di Sumatera Barat,1
Foto Beberapa Tokoh Indonesia dengan Penari Tari  Perut,1
Foto Anak kecil ini kehilangan ibunya saat perang,1
Bandung Kota Zona Hitam Corona,1
Inilah salah satu Guru Besar KAMPRET_KADRUN.. Keren Mantap,1
Foto INI PENAMPAKKAN MOBIL GHOIB ESEMKA,1
"NPWP dan NIK Mau Digabung, Semua Penduduk Indonesia Akan Dipajaki..?",1
Video RUSIA BERSHOLAWAT,1
Foto badan akan terlihat seperti ini jika kamu beruntung masih hidup setelah tersambar petir,1
Lowongan Kerja PT AGS Waskita Karya dengan Sejumlah Biaya,1
Lambang NU Rezim Now,1
PDIP bubar,1
Chadwick Boseman Poisoned,1
Artikel Berjudul Peneliti Australia Sebut : Jokowi  Presiden Tak Berkemampuan  Tapi Memiliki Daya Rusak,1
Din Syamsuddin Bertujuan Ingin Menggeser Maruf Amin Sebagai Wapres,1
Promosi komprehensif Tokopedia Dapatkan Data Intrnet 100GB tanpa Isi Ulang,1
CINA BANGUN PANGKALAN MILITER DI INDONESIA,1
Gereja yang Dibangun Dari Tulang-Tulang Umat Islam,1
SK Rekomendasi PDIP untuk Pemilihan Wali Kota Surabaya,1
Surat Panggilan Calon Karyawan Pertamina DIY dan Solo,1
Password Wifi di Jakarta #ANIESKEREN,1
SEKOLAH DASAR NEGERI CEBONGAN 01 JL. KOLAM KODOK NO.32,1
Alat Thermo Gun dapat Merusak Kelenjar Pineal,1
Ustadz Abdul Somad: FACE BOOK HARAM,1
SMS PT Len Memberikan Hadiah Rp100 Juta,1
"Ganjil Genap di Jakarta ditiadakan mulai Senin, 7 September 2020",1
Video Demonstrasi Anti Lockdown di London,1
Artikel berjudul Gli Italiani Chiamano Anies Baswedan Troppo Stupido Come Il Governatore di Jakarta,1
Informasi Lowongan Kerja Puskesmas Kedungkandang,1
Covid-19 Singkatan dari Certificate of Vaccination Identification with Artificial Intelligence,1
Tangkapan Layar Tentara Merah RRC Berkamuflase Jadi Banser,1
Beredarnya Obat Progesterex untuk Mensterilkan Perempuan,1
Di taruh mana muka Ridwan saidi,1
Pesan WhatsApp Soal KemenBUMN Angkat Advisor Gaji Minimal Rp40 Juta,1
Ferdinand: Anies Baswedan Mendunia karena Kekonyolan Kebijakannya Bukan Karena Pandainya Tapi Karena Konyol Dan Bodoh nya,1
PDIP BUKA OPSI BUBARKAN MUI DEMI UTUHNYA PANCASILA,1
Pesan Whatsapp Walikota Tangerang akan Beri Donasi,1
Pesan Berantai Salah Satu Cara Untuk Menangkis Virus Covid-19 Dengan Air Garam dan Air Hangat,1
Rocky Gerung Mendadak Ustad,1
"Campuran Air Kelapa Muda, Jeruk Nipis, dan Garam Dapat Mematikan Virus Corona",1
Pesan Singkat Rektor Unsoed soal Dana untuk Mahasiswa,1
Menag Belajar Mengaji Dengan Abu Janda,1
"Cilandak Barat, Jakarta Selatan sudah dideklarasikan sebagai sebuah klaster zona merah baru",1
Chadwick Boseman Diracun,1
Akun Instagram BPJS Ketenagakerjaan Bernama bpjs.pencairan.blt,1
Pesan WhatsApp Soal Razia Keliling di Pekalongan,1
Lowongan Kerja Pemandi Jenazah di RSUD Pasar Rebo,1
Gatot Janji Gaji Rakyat Jika Jadi Presiden,1
Kader PDIP Dewi Tanjung Meninggal Dunia,1
PERUSAK POLISI CIRACAS ADALAH POLISI SENDIRI,1
"Tangkapan Layar Judul Ferdinand: Sial Betul Nasib DKI Jakarta Punya Gubernur yang Seperti Ini. Tak Tahu Kerja Pandainya Cuma Omdo Dan Pidato-Pidato, Sial",1
Foto Anies Baswedan Sedang Uji Coba Sepeda di Jalan Tol Dalam Kota,1
Foto Yosi Mokalu Mengenakan Kaos Bertuliskan BADAN ARAHAN BUZZERP ISTANA,1
getah daun kemangi obat gatal-gatal,1
Air Rebusan Pepaya Muda Bisa Sembuhkan Kanker Kelenjar Getah Bening,1
"Viral! Sesumbar Ahok: 7 Bulan Gak Untung Gua Bubarin, Ehh Sekarang Tekor 11 Triliun.",1
Samsung ingin membantu siswa yang membutuhkan ponsel untuk belajar karena pandemi Covid19,1
Terapi Pijat Telinga Untuk Anak Keterlambatan Ngomong,1
Siap-siap Tambah blangsak! Pertamina Akan Hapus Premium dan Pertalite,1
Perdana Menteri Jepang Mundur Karena Terkait Virus Corona,1
Panggilan Interview PT Wijaya Karya  Tbk September 2020,1
Pabrik Mobil Esemka di China,1
Film Asal Korea Prediksi COVID-19,1
#KECANDUANGAME Terjadi di Prancis Bocah mengamuk membunuh semua orang di rumah,1
Surat Undangan LKPP dengan Pungutan Biaya,1
Habib Rizieq Shihab bersumpah tidak akan masuk ke Indonesia seumur hidup,1
Soimah Give Away,1
Akun Facebook Wakil Bupati Bogor Dengan Foto Profil Menggunakan Kemeja Putih dan Berpeci Hitam,1
Covid-19 drug Ivermectin,1
Santunan Dana BP2MI Untuk TKW/TKI dari UEA Senilai AED30 Ribu,1
Politikus PKS Netty Prasetiyani Meninggal Dunia,1
Foto Istri Durhaka Menunggu Pengampunan Suami,1
E KTP Yang Diproduksi China Sudah Dipasang Chip Untuk Menyadap Pembicaraan,1
Gara-gara HTI Pertamina Rugi 11 Triliun,1
Spanduk Warga Nahdliyin Rindu Khilafah Milik NU Tahun 2003,1
Ivermectin Obat Covid-19,1
nama negara kita *I N D O N E S I A* diberi nama sesuai dgn.Akronim Para *WALI SONGO *?,1
Video Komplek Perumahan Angker dan Rawan Rampok,1
"Tangkapan Layar Resmikan Tol di Aceh, Denny: Udah Berganti Presiden, Baru Jokowi yang Mampu Lantas, Presiden Sebelum nya,Kerjanya Apa Ya ?",1
Wapres Amerika Mike Pence meminta umat Islam yang menuntut hukum syariah meninggalkan Amerika,1
"Jokowi Berharap, Kita Semua Dapat Menerima Kehadiran TKA Cina sebagai Saudara Yang Mencari Nafkah Disini",1
Program PT Pertamina Berhadiah Cek Tunai Senilai Rp150 Juta,1
"Ketika rakyat muak dan jijik, tak ada lagi yang minta salaman dan selfie dengan Presiden Jokowi Widodo",1
Masker dapat Menyebabkan Infeksi Staph,1
"Soal Tuduhan Jokowi Anti Islam, Luhut: Umur 10 Tahun Beliau Sudah Hafal Alquran 40 Juz",1
Razia Masker Serentak Dengan Denda Rp250.000 di Wilayah Kabupaten dan Kota Bandung,1
RISMA DIBAPTIS DI GEREJA ... ? Innalillahi Wainnailahi Rojiun,1
Bantuan Covid-19 oleh BRI Melalui BRIVA,1
Biaya Tilang Terbaru di Indonesia,1
"Tak Tahan Sering DI Ejek Jaga Gereja Dan Bubarkan Pengajian Oleh Tentangganya,Seorang Anggota Banser Stress Dan Meninggal",1
Vaksin Covid Sebabkan Mandul,1
Dokumen WHO Tidak Menganjurkan untuk Memakai Masker Selama Pandemi COVID-19,1
Kisah Azab Kematian Tragis Mustafa Kemal,1
"Tangkapan Layar Ahox Tidak Akan Dicopot, Erik Tohir : Kami Punya Kepentingan Dengan Cina, Mohon Dipahami.",1
Foto Yoshitha Rajapaksa membangun hotel di Deniyaya,1
"Mahfud MD Cium Ada Kelompok Ancang-ancang Mengajak Hantam Pemerintah Bagi Yang Cinta Indonesia Mari Bersama Sama Menjaga NKRI, Dari Orang Orang Yang Ingin Indonesia Hancur",1
Hukuman Masuk Peti Mati Karena Tidak Pakai Masker,1
menurut ramalan kartun The Simpsons Presiden Amerika Donald Trump akan meninggal pada 27 Agustus 2020,1
Devils Tower in Wyoming,1
Foto Subehanallah penampakan malaikat di antara orang2 sholat di masjid nabawi,1
Foto Jokowi Pingsan dan Butuh Nafas Buatan,1
Banser di Gereja Membawa Pulang Nasi Tumpeng,1
"Tepat Sasaran, CCTV ikut terbakar hanggus",1
Foto Bendera Tauhid telah berkibar di Indonesia sejak 1935,1
Video Pengibaran Bendera Bertuliskan Kalimat Tauhid,1
Materai Dinaikan Menjadi Rp 10.000 Karena Nilai Rupiah Tidak Mungkin Menyentuh Rp 10.000,1
Baby Three Eyes Video,1
"gereja semakin sepi yg tinggal cuma pakaian, org nya udh bertobat masuk islam",1
Gatot Nurmantyo Akan Beri Gaji Rp5 Juta Per Jiwa Seluruh Indonesia Jika Jadi Presiden 2024,1
Foto Kebobrokan Indonesia yang Harus Ditutupi,1
Foto ini adalah eksodus besar besaran rakyat Suriah ketika perang saudara berkecamuk dinegara itu,1
SAID AQIL SIRADJ Menjual Tanah untuk Masjid Milik Warga ke GEREJA,1
"INNALILLAHI; Kabar Duka Dari Ustaz Yusuf, Semoga Husnul Hotima",1
Jokowi Bersama Prabowo sedang Ngomongin Rakyat yang sedang Tenggelam,1
Nyawa Presiden Jokowi Terancam,1
Media mainstream mana mau publish berita ttg aksi penolakan ruu omnibus law,1
Foto Jokowi dan Ahok di Panti Rehabilitasi Gangguan Mental,1
Pertarungan Pilpres 2024 Mengerucut Dua Pasang Calon,1
Akun Twitter @Tommy__Soeharto,1
Devils Tower di Wyoming Amerika Serikat Adalah Pohon Purba,1
TABUNG gas elpiji ada masa kadaluwarsanya,1
jurnalis muda dari Amerika bernama Fira Aziz ungkap keuntungan TikTok disalurkan untuk membuat camp konsentrasi warga Uighur,1
Korlap FPI Sebut Imam Besar Kami Punya Penangkal Virus Corona,1
Gedung KPK Terbakar,1
Video Bayi Bermata Tiga,1
Video Perbandingan Makanan Asli dan Palsu yang Dibuat di China,1
Vietcong Belajar Taktik Gerilya dari Indonesia,1
Penampakan baju putih tangan ke belakang setelah tragedi kebakaran,1
"seorang pria Baru pulang dari jepang menuju kronjo, membuang uang tabungan nya senilai 300 juta",1
Foto Jokowi Dan Prabowo Mengenakan Baju Pengantin,1
Ginger Juice and Black Pepper Can Cure Covid-19,1
Video BIADAB BANGET PERLAKUAN MEREKA SAMA JENAZAH MUSLIM ‼️‼️‼️,1
"bugil,lagi setelah di pecat😂",1
Video ini demo di Amerika. saat ini di masa pandemik #COVIDー19,1
"Karena dia bukan pilihan rakyat, Ini rezim haram hasil kejahatan antek² China",1
Hati2 Alat Ini Sdh Di Setting Suhu 36-37°C Olh Komunis Cina Utk Mmbunuh Para Ulama2 Kita,1
Jokowi Keluarkan Kartu Corona Indonesia Sehat ,1
Sakit hati gua bule kagak ada yang kenal sama my presiden 😥😥😥,1
Jembatan Suramadu Bebas dari Aktivitas Orang dan Kendaraan ,1
Foto Presiden Joko Widodo WFH ,1
"i tanya soal virus corona korlap FPI: hanya imam besar kami yg punya penangkal virus corona,karna imam besar kami cucu nabi",1
Suntingan Video Planet Nibiru,1
Penjelasan 136 Pasien dalam Pengawasan Virus Corona di Indonesia,0
Siswi SMPN 6 Tasik Dibunuh oleh Ayah Kandungnya sendiri,0
"Pesan Berantai Tangkapan Layar Artikel Jakarta Banjir, Ketua DPRD Temukan Fakta Mengejutkan di Bawah Trotoar",1
Video Perkelahian di Jalan M. H. Thamrin,1
Mi Goreng Indonesia Masuk Daftar Makanan Yang Menyebarkan Virus Corona di Australia,1
Dettol Antiseptik Disebut Dapat Membunuh Virus Corona,1
Wuhan China Orang² berteriak gak karuan,1
Video EXPLORE Pasar Wuhan - Virus Corona Diduga Bermunculan,1
Narasi TKA di Video Demo PT IMIP Morowali,1
Foto Selebaran WASPADA PENCULIKAN ANAK Polresta Sidoarjo,1
membal karena dioplos plastik,1
"Kapolres Timor Tengah Utara , Nusa Tenggara Timur ( NTT) Beri Klarifikasi Terkait Video Polisi Diamkan Korban Kecelakaan",1
Proyek Kereta Cepat kebanggaan Presiden Joko Widodo dari hasil utang ke China triliunan ternyata tidak kokoh dan roboh. Hasilnya menyedihkan..🙄:smirk:,1
Video Banjir Ikan di Waduk Wadas Lintang Kebumen,1
Pesan Berantai Foto Tol Japek,1
Megawati: Jauhi Anak Dari Agama Jika Besarnya Nanti Hanya Untuk Membunuh Orang,1
Promo Iklan Kacamata Ray Ban di Instagram,1
Cegah Radikalisme Menag Akan Ganti Ayat-Ayat Al Quran,1
Presiden Rusia  main piano lagu kebangsaan RI 🇮🇩 bentuk ucapan utk Jokowi..LUAR BIASA,1
Makan Buah Saat Perut Kosong Bisa Sembuhkan Kanker,1
taman moroseneng sememi surabàya,1
Antara Keparat & Aparat (B),1
Gambar Sampul Majalah Tempo Edisi 5-11 Agustus 2019,1
Bayi Diberi Minum Kopi Untuk Cegah Kejang,1
"Barbaque Man Party, Gay Private Party di Serpong",1
Rektor asing pertama untuk memimpin kampus UNJ ,1
Foto mobil yang terlibat kecelakaan beruntun di Tol Purbaleunyi,1
Seorang Anak SD di Lumajang Lolos Dari Percobaan Penculikan,1
Redaksi Liputan 6 SCTV: Redaksi Liputan 6 SCTV tak pernah memberitakan tentang tanah yang dipakai untuk proyek kereta api cepat Jakarta-Bandung milik RRC.,1
Daftar Obat Terlarang BPOM ,1
Hoaks Catut Nama Merdeka.com Soal Tunggu Komando Habib Rizieq Bunuh Diri Massal,0
"Wiranto: Pendukung Prabowo Yang Tidak Mengakui Kemenangan Jokowi, Tangkap, Tembak Mati!!",1
LEGENDA SEPAKBOLA BRAZIL PELE MENINGGAL DUNIA,1
Peringatan Hari Anak Nasional Se Jabar di Polda Jabar,1
Truk TNI Angkut Warga China Ke Bandung,1
Ternyata Biaya untuk Cuci Ginjal Kurang dari 10.000,1
Lowongan 25 Orang Driver Pengantar Jemaah Haji di Arab Saudi,1
Viral Video Kepala Tikus Di Mangkuk Mie ayam Di Solo,1
Video Suara Minta Tolong Pendaki yang Hilang di Gunung Piramid,1
"DISEBUT ADA MAFIA LAKUKAN JUAL BELI DARAH HASIL DONOR, PMI ANGKAT BICARA",1
Menkes Jalani Terapi DSA di RSPAD Gatot Soebroto,1
"MUNCUL UNGGAHAN TERKAIT KONDISI RISMA YANG DIKATAKAN KRITIS, PEMKOT SURABAYA ANGKAT BICARA",1
Bulog Madura Beri Penjelasan Terkait Isu Rastra Berkutu,0
SURAT PEMBERITAHUAN VALIDASI NOMOR INDUK CPNS,1
Penjelasan Pengelola KBS Soal Video Petugas Aniaya Orangutan,0
